Ref	Pos	Starts	Ends
21s_mtrRNA	0	0	0
21s_mtrRNA	1	0	0
21s_mtrRNA	2	0	0
21s_mtrRNA	3	0	0
21s_mtrRNA	4	0	0
21s_mtrRNA	5	0	0
21s_mtrRNA	6	0	1
21s_mtrRNA	7	0	7
21s_mtrRNA	8	0	13
21s_mtrRNA	9	0	4
21s_mtrRNA	10	0	8
21s_mtrRNA	11	0	2
21s_mtrRNA	12	0	0
21s_mtrRNA	13	0	0
21s_mtrRNA	14	0	5
21s_mtrRNA	15	0	0
21s_mtrRNA	16	0	0
21s_mtrRNA	17	0	0
21s_mtrRNA	18	0	0
21s_mtrRNA	19	0	0
21s_mtrRNA	20	0	1
21s_mtrRNA	21	0	0
21s_mtrRNA	22	0	0
21s_mtrRNA	23	0	0
21s_mtrRNA	24	0	0
21s_mtrRNA	25	0	0
21s_mtrRNA	26	0	0
21s_mtrRNA	27	0	0
21s_mtrRNA	28	0	0
21s_mtrRNA	29	0	0
21s_mtrRNA	30	0	0
21s_mtrRNA	31	0	0
21s_mtrRNA	32	0	0
21s_mtrRNA	33	0	0
21s_mtrRNA	34	0	0
21s_mtrRNA	35	0	0
21s_mtrRNA	36	0	1
21s_mtrRNA	37	0	1
21s_mtrRNA	38	0	0
21s_mtrRNA	39	0	0
21s_mtrRNA	40	0	0
21s_mtrRNA	41	0	1
21s_mtrRNA	42	0	0
21s_mtrRNA	43	0	0
21s_mtrRNA	44	0	0
21s_mtrRNA	45	0	0
21s_mtrRNA	46	0	0
21s_mtrRNA	47	0	0
21s_mtrRNA	48	0	0
21s_mtrRNA	49	0	0
21s_mtrRNA	50	0	0
21s_mtrRNA	51	0	0
21s_mtrRNA	52	0	0
21s_mtrRNA	53	0	0
21s_mtrRNA	54	0	0
21s_mtrRNA	55	0	0
21s_mtrRNA	56	0	0
21s_mtrRNA	57	0	0
21s_mtrRNA	58	0	0
21s_mtrRNA	59	0	0
21s_mtrRNA	60	0	2
21s_mtrRNA	61	0	0
21s_mtrRNA	62	0	0
21s_mtrRNA	63	0	0
21s_mtrRNA	64	0	0
21s_mtrRNA	65	0	0
21s_mtrRNA	66	0	0
21s_mtrRNA	67	0	0
21s_mtrRNA	68	0	1
21s_mtrRNA	69	0	0
21s_mtrRNA	70	0	1
21s_mtrRNA	71	0	1
21s_mtrRNA	72	0	1
21s_mtrRNA	73	0	0
21s_mtrRNA	74	0	0
21s_mtrRNA	75	0	0
21s_mtrRNA	76	0	0
21s_mtrRNA	77	0	1
21s_mtrRNA	78	0	0
21s_mtrRNA	79	0	1
21s_mtrRNA	80	0	0
21s_mtrRNA	81	0	0
21s_mtrRNA	82	0	0
21s_mtrRNA	83	0	0
21s_mtrRNA	84	0	1
21s_mtrRNA	85	0	1
21s_mtrRNA	86	0	0
21s_mtrRNA	87	0	0
21s_mtrRNA	88	0	0
21s_mtrRNA	89	0	0
21s_mtrRNA	90	0	0
21s_mtrRNA	91	0	0
21s_mtrRNA	92	0	0
21s_mtrRNA	93	0	0
21s_mtrRNA	94	0	0
21s_mtrRNA	95	0	1
21s_mtrRNA	96	0	0
21s_mtrRNA	97	0	0
21s_mtrRNA	98	0	1
21s_mtrRNA	99	0	0
21s_mtrRNA	100	0	0
21s_mtrRNA	101	0	0
21s_mtrRNA	102	0	0
21s_mtrRNA	103	0	1
21s_mtrRNA	104	0	0
21s_mtrRNA	105	0	0
21s_mtrRNA	106	0	0
21s_mtrRNA	107	0	0
21s_mtrRNA	108	0	0
21s_mtrRNA	109	0	0
21s_mtrRNA	110	0	0
21s_mtrRNA	111	0	1
21s_mtrRNA	112	0	0
21s_mtrRNA	113	0	0
21s_mtrRNA	114	0	0
21s_mtrRNA	115	0	0
21s_mtrRNA	116	0	0
21s_mtrRNA	117	0	0
21s_mtrRNA	118	0	0
21s_mtrRNA	119	0	0
21s_mtrRNA	120	0	1
21s_mtrRNA	121	0	0
21s_mtrRNA	122	0	0
21s_mtrRNA	123	0	0
21s_mtrRNA	124	0	0
21s_mtrRNA	125	0	1
21s_mtrRNA	126	0	0
21s_mtrRNA	127	0	0
21s_mtrRNA	128	0	0
21s_mtrRNA	129	0	0
21s_mtrRNA	130	0	0
21s_mtrRNA	131	0	0
21s_mtrRNA	132	0	0
21s_mtrRNA	133	0	0
21s_mtrRNA	134	0	0
21s_mtrRNA	135	0	1
21s_mtrRNA	136	0	0
21s_mtrRNA	137	0	0
21s_mtrRNA	138	0	0
21s_mtrRNA	139	0	0
21s_mtrRNA	140	0	1
21s_mtrRNA	141	0	0
21s_mtrRNA	142	0	0
21s_mtrRNA	143	0	0
21s_mtrRNA	144	0	0
21s_mtrRNA	145	0	0
21s_mtrRNA	146	0	0
21s_mtrRNA	147	0	0
21s_mtrRNA	148	0	0
21s_mtrRNA	149	0	0
21s_mtrRNA	150	0	0
21s_mtrRNA	151	0	0
21s_mtrRNA	152	0	0
21s_mtrRNA	153	0	0
21s_mtrRNA	154	0	0
21s_mtrRNA	155	0	1
21s_mtrRNA	156	0	0
21s_mtrRNA	157	0	0
21s_mtrRNA	158	0	1
21s_mtrRNA	159	0	1
21s_mtrRNA	160	0	1
21s_mtrRNA	161	0	1
21s_mtrRNA	162	0	0
21s_mtrRNA	163	0	0
21s_mtrRNA	164	0	0
21s_mtrRNA	165	0	0
21s_mtrRNA	166	0	1
21s_mtrRNA	167	0	0
21s_mtrRNA	168	0	0
21s_mtrRNA	169	1	0
21s_mtrRNA	170	0	0
21s_mtrRNA	171	0	0
21s_mtrRNA	172	0	0
21s_mtrRNA	173	0	0
21s_mtrRNA	174	1	0
21s_mtrRNA	175	0	0
21s_mtrRNA	176	0	0
21s_mtrRNA	177	1	5
21s_mtrRNA	178	0	0
21s_mtrRNA	179	0	0
21s_mtrRNA	180	0	1
21s_mtrRNA	181	0	6
21s_mtrRNA	182	0	0
21s_mtrRNA	183	0	1
21s_mtrRNA	184	0	1
21s_mtrRNA	185	0	0
21s_mtrRNA	186	0	5
21s_mtrRNA	187	0	1
21s_mtrRNA	188	0	2
21s_mtrRNA	189	1	2
21s_mtrRNA	190	0	1
21s_mtrRNA	191	0	1
21s_mtrRNA	192	0	0
21s_mtrRNA	193	0	1
21s_mtrRNA	194	0	0
21s_mtrRNA	195	0	0
21s_mtrRNA	196	0	0
21s_mtrRNA	197	0	1
21s_mtrRNA	198	0	0
21s_mtrRNA	199	1	1
21s_mtrRNA	200	0	0
21s_mtrRNA	201	0	1
21s_mtrRNA	202	1	0
21s_mtrRNA	203	0	0
21s_mtrRNA	204	0	1
21s_mtrRNA	205	1	0
21s_mtrRNA	206	0	0
21s_mtrRNA	207	0	0
21s_mtrRNA	208	0	0
21s_mtrRNA	209	0	0
21s_mtrRNA	210	0	0
21s_mtrRNA	211	0	0
21s_mtrRNA	212	0	0
21s_mtrRNA	213	0	0
21s_mtrRNA	214	0	0
21s_mtrRNA	215	0	0
21s_mtrRNA	216	0	0
21s_mtrRNA	217	0	0
21s_mtrRNA	218	0	0
21s_mtrRNA	219	0	1
21s_mtrRNA	220	0	0
21s_mtrRNA	221	0	0
21s_mtrRNA	222	6	0
21s_mtrRNA	223	0	1
21s_mtrRNA	224	0	1
21s_mtrRNA	225	1	1
21s_mtrRNA	226	0	0
21s_mtrRNA	227	0	0
21s_mtrRNA	228	2	2
21s_mtrRNA	229	0	1
21s_mtrRNA	230	0	0
21s_mtrRNA	231	0	0
21s_mtrRNA	232	0	0
21s_mtrRNA	233	0	0
21s_mtrRNA	234	0	0
21s_mtrRNA	235	0	0
21s_mtrRNA	236	0	0
21s_mtrRNA	237	0	0
21s_mtrRNA	238	0	0
21s_mtrRNA	239	0	0
21s_mtrRNA	240	0	0
21s_mtrRNA	241	0	0
21s_mtrRNA	242	0	0
21s_mtrRNA	243	0	0
21s_mtrRNA	244	0	0
21s_mtrRNA	245	1	0
21s_mtrRNA	246	0	0
21s_mtrRNA	247	0	0
21s_mtrRNA	248	1	0
21s_mtrRNA	249	0	0
21s_mtrRNA	250	0	0
21s_mtrRNA	251	0	0
21s_mtrRNA	252	0	0
21s_mtrRNA	253	1	0
21s_mtrRNA	254	0	0
21s_mtrRNA	255	0	0
21s_mtrRNA	256	1	0
21s_mtrRNA	257	0	0
21s_mtrRNA	258	0	0
21s_mtrRNA	259	1	0
21s_mtrRNA	260	0	0
21s_mtrRNA	261	0	0
21s_mtrRNA	262	0	0
21s_mtrRNA	263	2	0
21s_mtrRNA	264	0	1
21s_mtrRNA	265	0	0
21s_mtrRNA	266	0	0
21s_mtrRNA	267	0	0
21s_mtrRNA	268	0	0
21s_mtrRNA	269	0	0
21s_mtrRNA	270	0	0
21s_mtrRNA	271	0	0
21s_mtrRNA	272	0	0
21s_mtrRNA	273	0	0
21s_mtrRNA	274	0	0
21s_mtrRNA	275	0	0
21s_mtrRNA	276	0	0
21s_mtrRNA	277	0	0
21s_mtrRNA	278	0	0
21s_mtrRNA	279	0	1
21s_mtrRNA	280	0	0
21s_mtrRNA	281	0	0
21s_mtrRNA	282	0	1
21s_mtrRNA	283	1	0
21s_mtrRNA	284	0	0
21s_mtrRNA	285	0	0
21s_mtrRNA	286	0	0
21s_mtrRNA	287	0	0
21s_mtrRNA	288	0	0
21s_mtrRNA	289	0	0
21s_mtrRNA	290	0	0
21s_mtrRNA	291	0	1
21s_mtrRNA	292	0	0
21s_mtrRNA	293	0	0
21s_mtrRNA	294	0	0
21s_mtrRNA	295	0	0
21s_mtrRNA	296	0	0
21s_mtrRNA	297	0	0
21s_mtrRNA	298	0	0
21s_mtrRNA	299	0	0
21s_mtrRNA	300	0	0
21s_mtrRNA	301	0	0
21s_mtrRNA	302	0	0
21s_mtrRNA	303	0	0
21s_mtrRNA	304	0	0
21s_mtrRNA	305	1	0
21s_mtrRNA	306	0	0
21s_mtrRNA	307	0	0
21s_mtrRNA	308	0	0
21s_mtrRNA	309	0	2
21s_mtrRNA	310	0	0
21s_mtrRNA	311	0	0
21s_mtrRNA	312	1	1
21s_mtrRNA	313	0	0
21s_mtrRNA	314	0	0
21s_mtrRNA	315	0	0
21s_mtrRNA	316	0	0
21s_mtrRNA	317	0	0
21s_mtrRNA	318	0	0
21s_mtrRNA	319	0	0
21s_mtrRNA	320	0	0
21s_mtrRNA	321	0	0
21s_mtrRNA	322	0	0
21s_mtrRNA	323	0	0
21s_mtrRNA	324	0	0
21s_mtrRNA	325	0	0
21s_mtrRNA	326	0	0
21s_mtrRNA	327	0	0
21s_mtrRNA	328	0	0
21s_mtrRNA	329	0	0
21s_mtrRNA	330	0	0
21s_mtrRNA	331	0	0
21s_mtrRNA	332	4	0
21s_mtrRNA	333	0	0
21s_mtrRNA	334	0	0
21s_mtrRNA	335	0	0
21s_mtrRNA	336	0	0
21s_mtrRNA	337	0	0
21s_mtrRNA	338	0	1
21s_mtrRNA	339	0	0
21s_mtrRNA	340	0	0
21s_mtrRNA	341	0	0
21s_mtrRNA	342	0	0
21s_mtrRNA	343	0	0
21s_mtrRNA	344	0	0
21s_mtrRNA	345	2	0
21s_mtrRNA	346	0	0
21s_mtrRNA	347	0	0
21s_mtrRNA	348	0	0
21s_mtrRNA	349	0	0
21s_mtrRNA	350	0	0
21s_mtrRNA	351	0	0
21s_mtrRNA	352	0	0
21s_mtrRNA	353	0	0
21s_mtrRNA	354	0	0
21s_mtrRNA	355	0	0
21s_mtrRNA	356	0	0
21s_mtrRNA	357	0	0
21s_mtrRNA	358	0	0
21s_mtrRNA	359	0	0
21s_mtrRNA	360	1	0
21s_mtrRNA	361	0	0
21s_mtrRNA	362	0	0
21s_mtrRNA	363	0	0
21s_mtrRNA	364	0	1
21s_mtrRNA	365	0	0
21s_mtrRNA	366	0	0
21s_mtrRNA	367	1	0
21s_mtrRNA	368	0	0
21s_mtrRNA	369	0	0
21s_mtrRNA	370	0	0
21s_mtrRNA	371	0	1
21s_mtrRNA	372	0	0
21s_mtrRNA	373	0	0
21s_mtrRNA	374	0	0
21s_mtrRNA	375	0	0
21s_mtrRNA	376	0	0
21s_mtrRNA	377	0	0
21s_mtrRNA	378	0	0
21s_mtrRNA	379	0	0
21s_mtrRNA	380	0	0
21s_mtrRNA	381	0	0
21s_mtrRNA	382	0	0
21s_mtrRNA	383	0	0
21s_mtrRNA	384	2	0
21s_mtrRNA	385	0	0
21s_mtrRNA	386	0	0
21s_mtrRNA	387	0	0
21s_mtrRNA	388	0	0
21s_mtrRNA	389	0	0
21s_mtrRNA	390	0	0
21s_mtrRNA	391	0	0
21s_mtrRNA	392	1	0
21s_mtrRNA	393	1	0
21s_mtrRNA	394	1	0
21s_mtrRNA	395	0	0
21s_mtrRNA	396	0	0
21s_mtrRNA	397	0	0
21s_mtrRNA	398	0	0
21s_mtrRNA	399	0	0
21s_mtrRNA	400	0	1
21s_mtrRNA	401	0	0
21s_mtrRNA	402	0	0
21s_mtrRNA	403	0	0
21s_mtrRNA	404	0	0
21s_mtrRNA	405	0	0
21s_mtrRNA	406	0	0
21s_mtrRNA	407	0	0
21s_mtrRNA	408	0	0
21s_mtrRNA	409	0	0
21s_mtrRNA	410	0	0
21s_mtrRNA	411	0	0
21s_mtrRNA	412	1	0
21s_mtrRNA	413	0	0
21s_mtrRNA	414	0	0
21s_mtrRNA	415	0	0
21s_mtrRNA	416	0	0
21s_mtrRNA	417	0	0
21s_mtrRNA	418	0	2
21s_mtrRNA	419	0	1
21s_mtrRNA	420	0	0
21s_mtrRNA	421	0	0
21s_mtrRNA	422	1	0
21s_mtrRNA	423	0	0
21s_mtrRNA	424	0	0
21s_mtrRNA	425	0	0
21s_mtrRNA	426	1	0
21s_mtrRNA	427	0	0
21s_mtrRNA	428	0	0
21s_mtrRNA	429	0	0
21s_mtrRNA	430	0	0
21s_mtrRNA	431	0	0
21s_mtrRNA	432	0	0
21s_mtrRNA	433	0	0
21s_mtrRNA	434	0	1
21s_mtrRNA	435	0	0
21s_mtrRNA	436	0	0
21s_mtrRNA	437	0	0
21s_mtrRNA	438	0	0
21s_mtrRNA	439	0	0
21s_mtrRNA	440	0	0
21s_mtrRNA	441	0	0
21s_mtrRNA	442	0	0
21s_mtrRNA	443	0	0
21s_mtrRNA	444	0	0
21s_mtrRNA	445	0	1
21s_mtrRNA	446	0	0
21s_mtrRNA	447	0	0
21s_mtrRNA	448	0	0
21s_mtrRNA	449	0	0
21s_mtrRNA	450	0	0
21s_mtrRNA	451	0	0
21s_mtrRNA	452	0	0
21s_mtrRNA	453	0	0
21s_mtrRNA	454	0	0
21s_mtrRNA	455	0	0
21s_mtrRNA	456	1	0
21s_mtrRNA	457	0	2
21s_mtrRNA	458	0	0
21s_mtrRNA	459	0	0
21s_mtrRNA	460	0	0
21s_mtrRNA	461	0	0
21s_mtrRNA	462	0	0
21s_mtrRNA	463	0	0
21s_mtrRNA	464	0	0
21s_mtrRNA	465	0	0
21s_mtrRNA	466	0	1
21s_mtrRNA	467	0	0
21s_mtrRNA	468	0	0
21s_mtrRNA	469	0	0
21s_mtrRNA	470	0	1
21s_mtrRNA	471	0	0
21s_mtrRNA	472	0	0
21s_mtrRNA	473	0	0
21s_mtrRNA	474	0	0
21s_mtrRNA	475	0	0
21s_mtrRNA	476	0	0
21s_mtrRNA	477	0	1
21s_mtrRNA	478	0	0
21s_mtrRNA	479	0	0
21s_mtrRNA	480	0	0
21s_mtrRNA	481	0	0
21s_mtrRNA	482	0	0
21s_mtrRNA	483	0	0
21s_mtrRNA	484	0	0
21s_mtrRNA	485	1	0
21s_mtrRNA	486	0	0
21s_mtrRNA	487	0	0
21s_mtrRNA	488	0	0
21s_mtrRNA	489	0	0
21s_mtrRNA	490	0	0
21s_mtrRNA	491	0	0
21s_mtrRNA	492	0	0
21s_mtrRNA	493	0	0
21s_mtrRNA	494	0	0
21s_mtrRNA	495	0	0
21s_mtrRNA	496	0	0
21s_mtrRNA	497	0	0
21s_mtrRNA	498	0	0
21s_mtrRNA	499	0	1
21s_mtrRNA	500	0	0
21s_mtrRNA	501	0	0
21s_mtrRNA	502	0	0
21s_mtrRNA	503	0	0
21s_mtrRNA	504	0	0
21s_mtrRNA	505	0	0
21s_mtrRNA	506	0	0
21s_mtrRNA	507	0	0
21s_mtrRNA	508	0	0
21s_mtrRNA	509	0	0
21s_mtrRNA	510	0	0
21s_mtrRNA	511	0	0
21s_mtrRNA	512	0	0
21s_mtrRNA	513	0	0
21s_mtrRNA	514	0	1
21s_mtrRNA	515	0	0
21s_mtrRNA	516	0	0
21s_mtrRNA	517	0	0
21s_mtrRNA	518	0	1
21s_mtrRNA	519	0	0
21s_mtrRNA	520	0	0
21s_mtrRNA	521	0	0
21s_mtrRNA	522	3	0
21s_mtrRNA	523	0	0
21s_mtrRNA	524	1	1
21s_mtrRNA	525	0	0
21s_mtrRNA	526	0	0
21s_mtrRNA	527	0	0
21s_mtrRNA	528	0	0
21s_mtrRNA	529	0	0
21s_mtrRNA	530	0	0
21s_mtrRNA	531	0	0
21s_mtrRNA	532	0	0
21s_mtrRNA	533	0	0
21s_mtrRNA	534	0	0
21s_mtrRNA	535	0	0
21s_mtrRNA	536	0	0
21s_mtrRNA	537	0	0
